cc,name,url,ua,rf,verdict,detail,codecs,height
ad,Andorra TV,https://livesg1.rtva.hiway.media/11a6d6f4-ee13-47c7-9c27-7313cf5424e2/manifest.m3u8,,,ok,3 variant(s),"avc1.4d401e,mp4a.40.2 | avc1.4d401f,mp4a.40.2 | avc1.640028,mp4a.40.2",1080
ae,Ajman TV,https://cdn1.logichost.in/ajmantv/live/playlist.m3u8,,,ok,1 variant(s),"avc1.100.31,mp4a.40.2",720
ae,Al Arabiya Business,https://live.alarabiya.net/alarabiapublish/aswaaq.smil/playlist.m3u8,,,ok,4 variant(s),"avc1.640028,mp4a.40.2 | avc1.64001f,mp4a.40.2 | avc1.64001e,mp4a.40.2 | avc1.42c015,mp4a.40.2",1080
ae,Al Arabiya Programs,https://live.alarabiya.net/alarabiapublish/aaprograms.smil/playlist.m3u8,,,ok,4 variant(s),"avc1.640028,mp4a.40.2 | avc1.4d401f,mp4a.40.2 | avc1.4d401e,mp4a.40.2 | avc1.4d401e,mp4a.40.2",1080
ae,Al Qamar TV,https://streamer3.premio.link/alqamar/playlist.m3u8,,,ok,5 variant(s),"avc1.4d401e,mp4a.40.2 | avc1.4d401e,mp4a.40.2 | avc1.4d401e,mp4a.40.2 | avc1.4d401f,mp4a.40.2 | avc1.4d4028,mp4a.40.2",1080
ae,Al Shallal TV,https://amg01480-alshallalfze-alshallal-ono-q0hfg.amagi.tv/playlist.m3u8,,,ok,5 variant(s),"avc1.4d5015,mp4a.40.2 | avc1.4d501e,mp4a.40.2 | avc1.64101e,mp4a.40.2 | avc1.64101f,mp4a.40.2 | avc1.641028,mp4a.40.2",1080
ae,Al Sharqiya Min Kabla,https://svs.itworkscdn.net/kablatvlive/kabtv1.smil/playlist.m3u8,,,ok,3 variant(s),"avc1.4d4028,mp4a.40.2 | avc1.4d401e,mp4a.40.2 | avc1.42c015,mp4a.40.2",1080
ae,Al Wousta TV,https://svs.itworkscdn.net/alwoustalive/alwoustatv.smil/playlist.m3u8,,,ok,3 variant(s),"avc1.4d4028,mp4a.40.2 | avc1.4d401e,mp4a.40.2 | avc1.42c015,mp4a.40.2",1080
ae,Al Yaum TV,https://hlspackager.akamaized.net/live/DB/ALYAUM_TV/HLS/ALYAUM_TV.m3u8,,,ok,3 variant(s),"avc1.4d401e,mp4a.40.2 | avc1.4d401f,mp4a.40.2 | avc1.4d4028,mp4a.40.2",1080
ae,Alarabiya,https://live.alarabiya.net/alarabiapublish/alarabiya.smil/playlist.m3u8,,,ok,4 variant(s),"avc1.640028,mp4a.40.2 | avc1.64001f,mp4a.40.2 | avc1.64001e,mp4a.40.2 | avc1.42c015,mp4a.40.2",1080
ae,Alarabiya,http://185.9.2.18/chid_146/index.m3u8,,,ok,1 variant(s),avc1.640028,1080
ae,Alarabiya,https://live.alarabiya.net/alarabiapublish/alarabiya.smil/alarabiapublish/alarabiya_1080p/chunks.m3u8,,,inconclusive,media-playlist,,
ae,Alarabiya,https://shd-gcp-live.edgenextcdn.net/live/bitmovin-alarabiya/7f90de73d777d04f3dada92f90d35c44/index.m3u8,,,ok,6 variant(s),"avc1.640028,mp4a.40.2 | avc1.640015,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001F,mp4a.40.2 | avc1.64001F,mp4a.40.2",1080
ae,CNBC Arabiya,https://cnbc-live.akamaized.net/cnbc/master.m3u8,,,ok,3 variant(s),"avc1.4d4028,mp4a.40.2 | avc1.4d401f,mp4a.40.2 | avc1.4d401e,mp4a.40.2",1080
ae,Dubai TV International,http://185.9.2.18/chid_139/index.m3u8,,,ok,1 variant(s),avc1.640028,1080
ae,Fujairah TV,https://live.kwikmotion.com/fujairahlive/fujairah.smil/playlist.m3u8,,,unreachable,HTTPError,,
ae,MBC 1,https://shd-gcp-live.edgenextcdn.net/live/bitmovin-mbc-1/15cf99af5de54063fdabfefe66adc075/index.m3u8,,,ok,6 variant(s),"avc1.640028,mp4a.40.2 | avc1.640015,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001F,mp4a.40.2 | avc1.64001F,mp4a.40.2",1080
ae,MBC 4,https://shd-gcp-live.edgenextcdn.net/live/bitmovin-mbc-4/24f134f1cd63db9346439e96b86ca6ed/index.m3u8,,,ok,6 variant(s),"avc1.640028,mp4a.40.2 | avc1.640015,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001F,mp4a.40.2 | avc1.64001F,mp4a.40.2",1080
ae,MBC 5,https://shd-gcp-live.edgenextcdn.net/live/bitmovin-mbc-5/ee6b000cee0629411b666ab26cb13e9b/index.m3u8,,,ok,6 variant(s),"avc1.640028,mp4a.40.2 | avc1.640015,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001F,mp4a.40.2 | avc1.64001F,mp4a.40.2",1080
ae,MBC Bollywood,https://shd-gcp-live.edgenextcdn.net/live/bitmovin-mbc-bollywood/546eb40d7dcf9a209255dd2496903764/index.m3u8,,,ok,6 variant(s),"avc1.640028,mp4a.40.2 | avc1.640015,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001E,mp4a.40.2 | avc1.64001F,mp4a.40.2 | avc1.64001F,mp4a.40.2",1080
